wavelength,fratio
1.10541,1.02972
1.11216,1.02575
1.11757,1.02668
1.12432,1.02528
1.13649,1.02668
1.15541,1.02598
1.16351,1.02481
1.17973,1.02294
1.19865,1.02528
1.20946,1.02668
1.21622,1.02528
1.23108,1.02364
1.25270,1.02318
1.27162,1.02131
1.28514,1.01874
1.30000,1.01804
1.32027,1.01780
1.33378,1.01734
1.34459,1.01593
1.36351,1.01547
1.38108,1.01547
1.39054,1.01617
1.40135,1.01570
1.41486,1.01407
1.42297,1.01290
1.44189,1.01336
1.45000,1.01523
1.46216,1.01523
1.47838,1.01523
1.49459,1.01500
1.50405,1.01407
1.51757,1.01383
1.52432,1.01290
1.53649,1.01430
1.55270,1.01453
1.57027,1.01336
1.58919,1.01266
1.60000,1.01266
1.60811,1.01243
1.62162,1.01150
1.63378,1.01103
1.64730,1.01009
1.65676,1.00893
1.66622,1.00776
1.67568,1.00542
