Time (days),Flux (ppm),Error (ppm),Flux w/ Extra (ppm)
-0.041666666666666664,1001215.0878384048,13.792222070764318,1001215.0878384048
-0.0385067449074074,1001195.0957326344,13.792222070764318,1001224.7968238129
-0.03534682314814814,1001154.6650208434,13.792222070764318,1001163.0295528361
-0.032186901388888876,1000959.9449216353,13.792222070764318,1000932.599481131
-0.029026979629629614,1000648.009626299,13.792222070764318,1000631.943969436
-0.02586705787037035,1000299.3142745747,13.792222070764318,1000322.1352449171
-0.02270713611111109,1000097.1770508229,13.792222070764318,1000119.6696344068
-0.019547214351851826,999997.9124477712,13.792222070764318,999981.4259226468
-0.016387292592592563,999998.5763826742,13.792222070764318,999971.44080244
-0.0132273708333333,1000005.6630657207,13.792222070764318,1000014.5075676062
-0.010067449074074038,1000001.9866809213,13.792222070764318,1000031.6130827396
-0.006907527314814775,1000020.0576631597,13.792222070764318,1000019.5566589709
-0.0037476055555555124,1000010.4964013095,13.792222070764318,999980.7289048244
-0.0005876837962962497,1000001.6781688479,13.792222070764318,999993.7959397341
0.002572237962963013,1000006.121860275,13.792222070764318,1000033.6695340204
0.005732159722222276,1000004.6021104224,13.792222070764318,1000020.2424180857
0.008892081481481538,1000020.6066703682,13.792222070764318,999997.463678358
0.012052003240740801,999997.1704116665,13.792222070764318,999975.0124883401
0.015211925000000064,1000004.3178992644,13.792222070764318,1000021.2206943256
0.018371846759259326,999988.2201218938,13.792222070764318,1000015.1382733615
0.02153176851851859,999972.4670782395,13.792222070764318,999963.1450733177
0.02469169027777785,1000113.7151932268,13.792222070764318,1000084.1717439903
0.027851612037037114,1000326.2982345934,13.792222070764318,1000327.3001032338
0.031011533796296377,1000597.5950360543,13.792222070764318,1000627.4206352714
0.03417145555555564,1000948.2894576003,13.792222070764318,1000955.6871853705
0.0373313773148149,1001108.4255400238,13.792222070764318,1001080.6833164726
0.040491299074074165,1001141.2129487398,13.792222070764318,1001126.0023525788
